,Title,Release Year,Locations,Director,Actor 1
709,By Hook or By Crook,2001,The Lexington Club (3464 19th Street at Lexington),Harriet Dodge & Silas Howard,Silas Howard
710,The Wedding Planner,2001,Lincoln Park,Adam Shankman,Jennifer Lopez
711,The Wedding Planner,2001,Montgomery Street at Union Street,Adam Shankman,Jennifer Lopez
712,The Princess Diaries,2001,Broadway Tunnel (Broadway between Powell and Larkin),Garry Marshall,Julie Andrews
713,The Princess Diaries,2001,Baker Beach,Garry Marshall,Julie Andrews
714,Sweet November,2001,Chrissy Field,Pat O'Connor,Keanu Reeves
715,Sweet November,2001,Mission Dolores Park (Mission District),Pat O'Connor,Keanu Reeves
716,Sweet November,2001,"Foote, Cone & Belding (733 Front Street at Pacific)",Pat O'Connor,Keanu Reeves
717,The Princess Diaries,2001,Firestation #3 (Brazil Avenue and Athens Street),Garry Marshall,Julie Andrews
718,Never Die Twice,2001,"Postcard Row (Alamo Square, Hayes Valley)",Sean A.F. Scott,Claudia Christian
719,Dr. Dolittle 2,2001,"West Chrissy Field (Presidio, Golden Gate National Recreation Area)",Steve Carr,Eddie Murphy
720,Dr. Dolittle 2,2001,"Building 924, Presidio (Golden Gate National Recreation Area)",Steve Carr,Eddie Murphy
721,The Princess Diaries,2001,Fisherman's Wharf,Garry Marshall,Julie Andrews
722,Mission (aka City of Bars),2001,"The 500 Club (500 Guerrero Street, Mission District)",Loren Marsh,Chris Coburn
723,The Wedding Planner,2001,"The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park)",Adam Shankman,Jennifer Lopez
724,Dr. Dolittle 2,2001,"Sacramento St., Between Pierce & Broderick Streets",Steve Carr,Eddie Murphy
